alpha,seed,cluster_count,cluster_lifetime_mean,modularity_Q,final_variance,convergence_time
0.0,0,7,17.142857142857142,0.03510755555555556,0.424180927543358,120
0.0,1,7,34.0,-0.0007822222222222254,0.46488649855180586,204
0.0,2,7,19.0,0.04038755555555555,0.42574765482760446,95
0.0,3,6,30.75,0.03558844444444446,0.4565563108737557,123
0.0,4,11,11.538461538461538,0.06822133333333333,0.4035309513863238,150
0.0,5,8,10.083333333333334,0.06201333333333334,0.4222718962861459,121
0.0,6,7,14.272727272727273,0.05880711111111111,0.4405199140428057,157
0.0,7,10,11.0,0.04843022222222223,0.4828811520949868,121
0.0,8,9,19.076923076923077,0.08105511111111112,0.4678113207134519,248
0.0,9,6,22.0,0.018428444444444442,0.4133541547193381,132
0.0,10,10,8.666666666666666,0.07857066666666668,0.432194506797849,130
0.0,11,9,11.3,0.034521777777777776,0.43996890768372476,113
0.1,0,7,17.714285714285715,0.03510755555555556,0.42400866745536414,124
0.1,1,7,26.0,-0.012271999999999998,0.4666592508569428,104
0.1,2,5,31.666666666666668,0.014796444444444442,0.4269014259353162,95
0.1,3,6,20.5,0.022679111111111108,0.45848078167581796,123
0.1,4,10,12.777777777777779,0.05501777777777778,0.40486929404063665,115
0.1,5,10,11.818181818181818,0.08398844444444445,0.42241106465781353,130
0.1,6,7,12.6,0.054399111111111106,0.44456201618452995,126
0.1,7,8,10.75,0.04270311111111112,0.4833974642926048,129
0.1,8,9,13.555555555555555,0.0733848888888889,0.47074608076451285,122
0.1,9,6,18.857142857142858,0.019975111111111117,0.4135501546806932,132
0.1,10,9,11.0,0.06142400000000001,0.43388112226950204,99
0.1,11,9,14.166666666666666,0.03326666666666667,0.44180000619423915,85
0.2,0,7,24.0,0.027541333333333338,0.4245246692074913,120
0.2,1,9,20.8,-0.013204444444444446,0.46787634129456,104
0.2,2,5,31.666666666666668,0.014796444444444442,0.4269014259353162,95
0.2,3,6,20.5,0.02097777777777778,0.45873413093399346,123
0.2,4,10,19.166666666666668,0.043623999999999996,0.40492922357961697,115
0.2,5,10,14.875,0.06996355555555554,0.4234089320422953,119
0.2,6,8,15.090909090909092,0.05775288888888888,0.4458247044079762,166
0.2,7,8,17.285714285714285,0.02357244444444446,0.4857522754588057,121
0.2,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.2,9,6,18.857142857142858,0.019975111111111117,0.4135862803744356,132
0.2,10,9,9.181818181818182,0.06142400000000001,0.4340741077057085,101
0.2,11,9,14.166666666666666,0.03326666666666667,0.44193618685118097,85
0.30000000000000004,0,7,24.0,0.025910222222222227,0.42480213467902594,120
0.30000000000000004,1,9,20.8,-0.013204444444444446,0.46787634129456,104
0.30000000000000004,2,5,31.666666666666668,0.014796444444444442,0.4269014259353162,95
0.30000000000000004,3,6,30.75,0.02009244444444444,0.45879148685185994,123
0.30000000000000004,4,10,16.428571428571427,0.04411466666666666,0.40553432997473976,115
0.30000000000000004,5,9,18.8,0.02846133333333333,0.42564179947824415,94
0.30000000000000004,6,8,20.666666666666668,0.05240444444444444,0.4477101007444699,124
0.30000000000000004,7,7,19.6,0.0024204444444444534,0.4841076109570052,98
0.30000000000000004,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.30000000000000004,9,6,18.857142857142858,0.019975111111111117,0.4136208935649725,132
0.30000000000000004,10,9,9.272727272727273,0.06142400000000001,0.4341545119194133,102
0.30000000000000004,11,9,14.0,0.03326666666666667,0.4419470950093737,84
0.4,0,7,24.0,0.025910222222222227,0.42480213467902594,120
0.4,1,9,26.0,-0.017328888888888887,0.4694747289694413,104
0.4,2,5,31.666666666666668,0.014796444444444442,0.427059191762242,95
0.4,3,6,30.75,0.02009244444444444,0.45879148685185994,123
0.4,4,9,19.166666666666668,0.03484266666666667,0.4057741639948275,115
0.4,5,9,18.8,0.02846133333333333,0.42564179947824415,94
0.4,6,8,31.0,0.0508151111111111,0.44792620832368957,124
0.4,7,7,12.375,0.0024204444444444534,0.48424836338821514,99
0.4,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.4,9,6,18.857142857142858,0.019975111111111117,0.41365289225609386,132
0.4,10,8,9.272727272727273,0.05461422222222224,0.4342837425881894,102
0.4,11,9,14.0,0.03326666666666667,0.44195887529674854,84
0.5,0,7,24.0,0.025910222222222227,0.42480213467902594,120
0.5,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
0.5,2,5,31.666666666666668,0.014796444444444442,0.427059191762242,95
0.5,3,6,30.75,0.02009244444444444,0.45879148685185994,123
0.5,4,9,16.428571428571427,0.03468,0.40539284667714126,115
0.5,5,9,18.8,0.02846133333333333,0.42564179947824415,94
0.5,6,8,31.0,0.0508151111111111,0.44792620832368957,124
0.5,7,7,16.333333333333332,0.002680888888888888,0.4846994042848526,98
0.5,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.5,9,6,22.0,0.019975111111111117,0.4136391725679733,132
0.5,10,8,10.333333333333334,0.05227822222222223,0.4350623610058528,93
0.5,11,9,11.833333333333334,0.02332888888888888,0.4427528147650318,71
0.6000000000000001,0,7,24.0,0.02388355555555556,0.4248456359992412,120
0.6000000000000001,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
0.6000000000000001,2,5,31.666666666666668,0.010914666666666666,0.4272219268941866,95
0.6000000000000001,3,6,30.75,0.02009244444444444,0.45879148685185994,123
0.6000000000000001,4,9,34.75,0.032530666666666666,0.4057280763990349,139
0.6000000000000001,5,9,11.75,0.02846133333333333,0.4256567181106747,94
0.6000000000000001,6,8,31.0,0.0508151111111111,0.44792620832368957,124
0.6000000000000001,7,7,45.0,0.0011448888888888906,0.4875153427422517,90
0.6000000000000001,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.6000000000000001,9,6,26.4,0.0167208888888889,0.413598151321318,132
0.6000000000000001,10,8,11.714285714285714,0.043781333333333346,0.43539750317365294,82
0.6000000000000001,11,9,11.833333333333334,0.021078222222222213,0.4427732822124088,71
0.7000000000000001,0,7,24.0,0.02388355555555556,0.4248456359992412,120
0.7000000000000001,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
0.7000000000000001,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
0.7000000000000001,3,6,30.75,0.02009244444444444,0.45879148685185994,123
0.7000000000000001,4,9,34.75,0.032530666666666666,0.4057280763990349,139
0.7000000000000001,5,10,17.0,0.05403999999999999,0.4255827548982438,119
0.7000000000000001,6,8,31.0,0.04894399999999999,0.44782710349395666,124
0.7000000000000001,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
0.7000000000000001,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.7000000000000001,9,6,26.4,0.011387555555555566,0.4146191945393663,132
0.7000000000000001,10,8,16.4,0.04296622222222223,0.43538730150808247,82
0.7000000000000001,11,10,14.2,0.019961777777777773,0.4426868922077938,71
0.8,0,7,24.0,0.02388355555555556,0.4248456359992412,120
0.8,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
0.8,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
0.8,3,6,30.75,0.02009244444444444,0.45879148685185994,123
0.8,4,9,34.75,0.032530666666666666,0.4057280763990349,139
0.8,5,10,17.0,0.05403999999999999,0.4255827548982438,119
0.8,6,8,31.0,0.04894399999999999,0.44782710349395666,124
0.8,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
0.8,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.8,9,6,26.4,0.011212444444444445,0.41462509559289634,132
0.8,10,8,16.4,0.04296622222222223,0.43538730150808247,82
0.8,11,10,14.2,0.019961777777777773,0.4426868922077938,71
0.9,0,7,24.0,0.02388355555555556,0.4248456359992412,120
0.9,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
0.9,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
0.9,3,6,30.75,0.02009244444444444,0.45879148685185994,123
0.9,4,9,34.75,0.032530666666666666,0.4057280763990349,139
0.9,5,10,17.0,0.05403999999999999,0.4255827548982438,119
0.9,6,8,31.0,0.04894399999999999,0.44782710349395666,124
0.9,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
0.9,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.9,9,6,26.4,0.011212444444444445,0.41462509559289634,132
0.9,10,8,16.4,0.04296622222222223,0.43538730150808247,82
0.9,11,10,14.2,0.019961777777777773,0.4426868922077938,71
1.0,0,7,24.0,0.02388355555555556,0.4248456359992412,120
1.0,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
1.0,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
1.0,3,6,30.75,0.02009244444444444,0.45879148685185994,123
1.0,4,9,34.75,0.032530666666666666,0.4057280763990349,139
1.0,5,10,17.0,0.05403999999999999,0.4255827548982438,119
1.0,6,8,31.0,0.04894399999999999,0.44782710349395666,124
1.0,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
1.0,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
1.0,9,6,26.4,0.011212444444444445,0.41462509559289634,132
1.0,10,8,16.4,0.04296622222222223,0.43538730150808247,82
1.0,11,10,14.2,0.019961777777777773,0.4426868922077938,71
1.1,0,7,24.0,0.02388355555555556,0.4248456359992412,120
1.1,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
1.1,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
1.1,3,6,30.75,0.02009244444444444,0.45879148685185994,123
1.1,4,9,34.75,0.032530666666666666,0.4057280763990349,139
1.1,5,10,17.0,0.05403999999999999,0.4255827548982438,119
1.1,6,8,31.0,0.04894399999999999,0.44782710349395666,124
1.1,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
1.1,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
1.1,9,6,26.4,0.011212444444444445,0.41462509559289634,132
1.1,10,8,16.4,0.04296622222222223,0.43538730150808247,82
1.1,11,10,14.2,0.019961777777777773,0.4426868922077938,71
1.2000000000000002,0,7,24.0,0.02388355555555556,0.4248456359992412,120
1.2000000000000002,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
1.2000000000000002,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
1.2000000000000002,3,6,30.75,0.02009244444444444,0.45879148685185994,123
1.2000000000000002,4,9,34.75,0.032530666666666666,0.4057280763990349,139
1.2000000000000002,5,10,17.0,0.05403999999999999,0.4255827548982438,119
1.2000000000000002,6,8,31.0,0.04894399999999999,0.44782710349395666,124
1.2000000000000002,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
1.2000000000000002,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
1.2000000000000002,9,6,26.4,0.011212444444444445,0.41462509559289634,132
1.2000000000000002,10,8,16.4,0.04296622222222223,0.43538730150808247,82
1.2000000000000002,11,10,14.2,0.019961777777777773,0.4426868922077938,71
1.3,0,7,24.0,0.02388355555555556,0.4248456359992412,120
1.3,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
1.3,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
1.3,3,6,30.75,0.02009244444444444,0.45879148685185994,123
1.3,4,9,34.75,0.032530666666666666,0.4057280763990349,139
1.3,5,10,17.0,0.05403999999999999,0.4255827548982438,119
1.3,6,8,31.0,0.04894399999999999,0.44782710349395666,124
1.3,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
1.3,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
1.3,9,6,26.4,0.011212444444444445,0.41462509559289634,132
1.3,10,8,16.4,0.04296622222222223,0.43538730150808247,82
1.3,11,10,14.2,0.019961777777777773,0.4426868922077938,71
1.4000000000000001,0,7,24.0,0.02388355555555556,0.4248456359992412,120
1.4000000000000001,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
1.4000000000000001,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
1.4000000000000001,3,6,30.75,0.02009244444444444,0.45879148685185994,123
1.4000000000000001,4,9,34.75,0.032530666666666666,0.4057280763990349,139
1.4000000000000001,5,10,17.0,0.05403999999999999,0.4255827548982438,119
1.4000000000000001,6,8,31.0,0.04894399999999999,0.44782710349395666,124
1.4000000000000001,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
1.4000000000000001,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
1.4000000000000001,9,6,26.4,0.011212444444444445,0.41462509559289634,132
1.4000000000000001,10,8,16.4,0.04296622222222223,0.43538730150808247,82
1.4000000000000001,11,10,14.2,0.019961777777777773,0.4426868922077938,71
1.5,0,7,24.0,0.02388355555555556,0.4248456359992412,120
1.5,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
1.5,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
1.5,3,6,30.75,0.02009244444444444,0.45879148685185994,123
1.5,4,9,34.75,0.032530666666666666,0.4057280763990349,139
1.5,5,10,17.0,0.05403999999999999,0.4255827548982438,119
1.5,6,8,31.0,0.04894399999999999,0.44782710349395666,124
1.5,7,7,45.0,0.0011448888888888906,0.48755960963299017,90
1.5,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
1.5,9,6,26.4,0.011212444444444445,0.41462509559289634,132
1.5,10,8,16.4,0.04296622222222223,0.43538730150808247,82
1.5,11,10,14.2,0.019961777777777773,0.4426868922077938,71
